iter	Passed	Remaining
649	4373	2355
650	4384	2350
651	4389	2342
652	4394	2335
653	4401	2328
654	4407	2321
655	4412	2313
656	4419	2307
657	4424	2299
658	4430	2292
659	4438	2286
660	4445	2279
661	4453	2274
662	4459	2266
663	4465	2259
664	4470	2252
665	4476	2244
666	4482	2238
667	4487	2230
668	4492	2222
669	4499	2216
670	4505	2208
671	4510	2201
672	4517	2195
673	4522	2187
674	4527	2180
675	4534	2173
676	4539	2165
677	4546	2159
678	4551	2151
679	4556	2144
680	4563	2137
681	4568	2130
682	4573	2122
683	4580	2116
684	4585	2108
685	4591	2101
686	4597	2094
687	4603	2087
688	4608	2080
689	4614	2073
690	4620	2066
691	4625	2058
692	4632	2052
693	4638	2045
694	4644	2038
695	4649	2030
696	4655	2023
697	4661	2016
698	4666	2009
699	4672	2002
700	4680	1996
701	4687	1989
702	4692	1982
703	4698	1975
704	4703	1968
705	4707	1960
706	4714	1953
707	4718	1946
708	4723	1938
709	4730	1932
710	4734	1924
711	4739	1917
712	4746	1910
713	4752	1903
714	4757	1896
715	4764	1889
716	4774	1884
717	4786	1879
718	4797	1874
719	4802	1867
720	4811	1862
721	4818	1855
722	4827	1849
723	4836	1843
724	4847	1838
725	4852	1831
726	4860	1825
727	4867	1818
728	4879	1813
729	4884	1806
730	4889	1799
731	4895	1792
732	4900	1785
733	4905	1777
734	4911	1770
735	4916	1763
736	4921	1756
737	4929	1750
738	4934	1742
739	4940	1735
740	4945	1728
741	4951	1721
742	4959	1715
743	4963	1708
744	4969	1700
745	4977	1694
746	4981	1687
747	4986	1680
748	4993	1673
749	4997	1665
750	5002	1658
751	5008	1651
752	5013	1644
753	5018	1637
754	5025	1630
755	5030	1623
756	5036	1616
757	5050	1612
758	5059	1606
759	5069	1600
760	5077	1594
761	5083	1587
762	5092	1581
763	5097	1574
764	5105	1568
765	5110	1561
766	5114	1553
767	5119	1546
768	5125	1539
769	5130	1532
770	5135	1525
771	5142	1518
772	5147	1511
773	5152	1504
774	5158	1497
775	5163	1490
776	5168	1483
777	5174	1476
778	5179	1469
